date,price
1191 ,1217.0796
1192 ,1180.2104
1193 ,1168.4083
1194 ,1171.3144
1195 ,1176.2072
1196 ,1162.2206
1197 ,1115.9611
1198 ,1119.9149
1199 ,1105.0882
1200 ,1109.3681
1201 ,1116.7519
1202 ,1156.4876
1203 ,1145.3181
1204 ,1150.9523
1205 ,1145.5949
1206 ,1123.8687
1207 ,1149.5684
1208 ,1134.6626
1209 ,1156.4678
1210 ,1154.5107
1211 ,1144.0331
1212 ,1133.0613
1213 ,1136.0267
1214 ,1134.7417
1215 ,1120.6068
1216 ,1121.9907
1217 ,1149.5684
1218 ,1172.1051
1219 ,1169.3375
